OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
1924842,04092021928,CIRCLE K #2723302,1414  E WILLIAMS ST ,,APEX,NC,27539,(919) 362-5131,2016-02-25T05:00:00Z,Food Stand,74,-78.83931692,35.71149361,M
1924843,04092017541,RISE BISCUITS & DONUTS,169 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 586-7343,2017-03-03T05:00:00Z,Restaurant,92,-78.84948074,35.66266499,M
1924844,04092050030,Wake Christian Academy Cafeteria,5500 Wake Academy Dr,,RALEIGH,NC,27603,(919) 772-6264,2018-08-03T04:00:00Z,Private School Lunchrooms,94,-78.67165429,35.70444604,M
1924845,04092017179,DUCK DONUTS,8323 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 847-8300,2016-03-08T05:00:00Z,Restaurant,109,-78.68223183,35.90105252,M
1924846,04092022008,KINGS WOK,8320 Litchford  RD ,SUITE 160,RALEIGH,NC,27615,(919) 878-5252,2017-03-09T05:00:00Z,Food Stand,115,-78.59988229,35.89223772,M
1924847,04092016489,SONIC DRIVE IN #6020,1925 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 554-1209,2013-08-20T04:00:00Z,Restaurant,139,-78.52999701,35.94975468,M
1924848,04092025369,Crepe Time Catering @ TKA,2201 S WILMINGTON ST,,RALEIGH,NC,27603,(919) 377-9447,2021-06-24T04:00:00Z,Food Stand,140,-78.63902655,35.752054,M
1924849,04092018247,PIZZA HUT #2020,11010 LAKE GROVE  BLVD ,,MORRISVILLE,NC,27650,(919) 234-0652,2019-12-03T05:00:00Z,Restaurant,142,-78.84707532,35.82315923,M
1924850,04092030485,Dubz Grub (WCID #775),2201 S WILMINGTON ST,,RALEIGH,NC,27603-2559,(919) 539-6022,2020-07-06T04:00:00Z,Mobile Food Units,143,-78.63902655,35.752054,M
1924851,04092016169,NET APP CAFE BLDG3,7301 KIT CREEK RD ,BLDG 3,MORRISVILLE,NC,27560,(919) 476-5671,2012-04-20T04:00:00Z,Restaurant,146,-78.88578455,35.85727617,M
1924852,04092025275,LOVE BAO TAIWANESE KITCHEN,1961 High House RD ,,CARY,NC,27519,(919) 622-3586,2019-07-22T04:00:00Z,Food Stand,161,-78.84865444,35.78921622,M
1924853,04092018483,LoneRider at Five Points,1626 Glenwood Ave ,,RALEIGH,NC,27608,(919) 322-2434,2020-11-10T05:00:00Z,Restaurant,166,-78.64536523,35.80340045,M
1924854,04092016263,DICKEY'S BARBECUE PIT #413,6552 GLENWOOD  AVE ,,RALEIGH,NC,27612,(919) 436-3995,2012-09-20T04:00:00Z,Restaurant,169,-78.70609774,35.86074545,M
1924855,04092018287,Zanyu Asian Noodles,8450 HONEYCUTT RD ,STE. 112,RALEIGH,NC,27615,(919) 803-1340,2020-01-07T05:00:00Z,Restaurant,170,-78.62166097,35.89510574,M
1924856,04092025378,Wingstop #2032,1619 CROSS LINK RD,,RALEIGH,NC,27610,(919) 977-4111,2021-08-17T04:00:00Z,Food Stand,179,-78.61481064,35.75482608,M
1924857,04092018657,Coffee & Crepes,315 Crossroads BLVD ,,CARY,NC,27511,(919) 233-0288,2021-06-22T04:00:00Z,Restaurant,190,-78.73871452,35.76064286,M
1924858,04092018378,Pleasant Grove Church,1528 Davis DR ,,CARY,NC,27519,(919) 363-5198,2020-05-29T04:00:00Z,Restaurant,197,-78.84348956,35.76990031,M
1924859,04092017534,YUMMY HIBACHI,"7110 KNIGHTDALE BLVD, STE P",,KNIGHTDALE,NC,27545,(919) 373-0325,2017-03-09T05:00:00Z,Restaurant,200,-78.4899936,35.79638702,M
1924860,04092016286,CHECKERS PIZZA,2810 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 832-6522,2012-11-01T04:00:00Z,Restaurant,211,-78.67445032,35.78959693,M
1924861,04092160080,ZEBULON REHABILITATION CENTER FOOD SERVICE,509 W GANNON AVE.,,ZEBULON,NC,27597,,2014-06-04T04:00:00Z,Institutional Food Service,217,-78.32569568,35.81964939,M
1924862,04092016265,ACRO CAFE,11 W JONES ST ,,RALEIGH,NC,27601,(919) 733-7450,2012-09-14T04:00:00Z,Restaurant,222,-78.63943083,35.78220511,M
1924863,04092021936,CIRCLE K #3146,1720  N MAIN ST ,,FUQUAY VARINA,NC,27526,,2016-02-25T05:00:00Z,Food Stand,237,-78.75810908,35.59678082,M
1924864,04092015913,SAS BUILDING C CAFE,820 SAS CAMPUS DR ,,CARY,NC,27513,(919) 531-8651,2011-03-16T04:00:00Z,Restaurant,238,-78.75122071,35.81750425,M
1924865,04092018228,Hady International Food,717-199 E MARTIN ST ,,RALEIGH,NC,27610,(919) 741-1111,2019-11-13T05:00:00Z,Restaurant,26,-78.62699406,35.77656647,M
1924866,04092015101,Michelangelos,7280 GB Alford  HWY ,,HOLLY SPRINGS,NC,27540,(919) 557-4992,2008-03-26T04:00:00Z,Restaurant,249,-78.83292783,35.63500069,M
1924867,04092016255,BOTTLE MIXX,8111 CREEDMOOR RD ,STE 153,RALEIGH,NC,27613,(919) 615-1703,2012-09-11T04:00:00Z,Restaurant,266,-78.68248786,35.89850336,M
1924868,04092016264,THE YARD HOUSE #41,4208 SIX FORKS  RD ,C110,RALEIGH,NC,27609,(919) 881-2590,2012-09-21T04:00:00Z,Restaurant,269,-78.63994726,35.83691426,M
1924869,04092016808,Harris Teeter #257 Starbucks,2080 Kildaire Farm RD ,,CARY,NC,27518,(919) 233-9483,2014-11-10T05:00:00Z,Restaurant,278,-78.78068669,35.73567522,M
1924870,04092015464,POLAR ICE HOUSE,1410 BUCK JONES RD ,,RALEIGH,NC,27606,(919) 460-2756,2009-09-11T04:00:00Z,Restaurant,289,-78.74547814,35.76540093,M
1924871,04092014520,El Tapatio #4,4511 New Bern AVE,,RALEIGH,NC,27610,(919) 255-9161,2006-03-09T05:00:00Z,Restaurant,295,-78.55938498,35.79875761,M
1924872,04092018700,Chick-fil-A #01488,220 SHENSTONE BLVD,,GARNER,NC,27529,,2021-08-28T04:00:00Z,Restaurant,296,-78.58261702,35.69212111,M
1924873,04092016807,TAZIKI'S RTP,7161 O'KELLY CHAPEL ROAD,,CARY,NC,27519,(919) 371-2693,2014-11-13T05:00:00Z,Restaurant,297,-78.88824644,35.84415135,M
1924874,04092018634,Ish Deli,702 N PERSON ST,,RALEIGH,NC,27604,(919) 810-7451,2021-06-01T04:00:00Z,Restaurant,308,-78.63408794,35.78910376,M
1924875,04092021890,FOOD LION #1496 PRODUCE,1777 W WILLIAMS ST ,,APEX,NC,27502,(919) 362-1986,2015-10-09T04:00:00Z,Food Stand,313,-78.87770701,35.75964934,M
1924876,04092015321,SUBWAY #12460,706 W PEACE ST ,,RALEIGH,NC,27605,(919) 834-0605,2009-01-12T05:00:00Z,Restaurant,316,-78.64931864,35.78886208,M
1924877,04092017542,AMERICAN DELI,1601-11 CROSS LINK RD ,,RALEIGH,NC,27610,(919) 516-5111,2017-03-01T05:00:00Z,Restaurant,33,-78.61376,35.75438832,M
1924878,04092021605,HARRIS TEETER #422 PRODUCE,120-100 ST ALBANS DR ,,RALEIGH,NC,27607,(919) 781-4165,2010-02-03T05:00:00Z,Food Stand,44,-78.63887103,35.83819686,M
1924879,04092018646,Five Guys #1797,1075 Pine Plaza BLVD ,,APEX,NC,27523,(919) 616-0011,2021-06-07T04:00:00Z,Restaurant,126,-78.82917015,35.7478436,M
1924880,04092017538,PIZZERIA FAULISI,215 E CHATHAM ST ,SUITE 101,CARY,NC,27511,(919) 377-8244,2017-02-21T05:00:00Z,Restaurant,317,-78.77734174,35.78786553,M
1924881,04092018307,Szechuan Mansion Restaurant,1353 KILDAIRE FARM RD,,CARY,NC,27511,(919) 800-1802,2020-01-27T05:00:00Z,Restaurant,321,-78.78193974,35.75976658,M
1924882,04092018254,Teriyaki Madness,160 SHENSTONE BLVD,,GARNER,NC,27529,,2019-12-02T05:00:00Z,Restaurant,322,-78.58054205,35.69110315,M
1924883,04092021954,EDIBLE ARRANGEMENTS #365-CARY,207 CROSSROADS BLVD ,,CARY,NC,27511,(919) 851-7065,2016-04-15T04:00:00Z,Food Stand,325,-78.73871452,35.76064286,M
1924884,04092030551,9.19 Island cuisine,13654 CAPITAL BLVD,,WAKE FOREST,NC,27587,(518) 817-0688,2021-08-19T04:00:00Z,Mobile Food Units,326,-78.51867461,36.00548951,M
1924885,04092025349,Bourbon Street Kitchen,4325 GLENWOOD AVE,Suite 2055,RALEIGH,NC,27612,,2021-03-25T04:00:00Z,Food Stand,328,-78.68184484,35.84183815,T
1924886,04092017901,Vaishno Bhog,810 E Chatham ST ,,CARY,NC,27560,(919) 678-3172,2018-07-11T04:00:00Z,Restaurant,331,-78.76305622,35.79140272,M
1924887,04092018656,Brookfields Indoor Golf & Lounge,1839 S Main ST ,,WAKE FOREST,NC,27587,(984) 235-1722,2021-06-17T04:00:00Z,Restaurant,335,-78.52626448,35.95102854,M
1924888,04092015089,BRUEGGERS BAGELS #143,7550-106 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 848-4902,2008-03-28T04:00:00Z,Restaurant,257,-78.67969753,35.88944343,M
1924889,04092025276,Square Burgers,225 E MARTIN ST ,,RALEIGH,NC,27601-1316,(919) 896-6600,2019-07-29T04:00:00Z,Food Stand,323,-78.63544584,35.77685868,M
1924890,04092021583,HARRIS TEETER #311 PRODUCE,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009-09-10T04:00:00Z,Food Stand,337,-78.83920922,35.63987917,M
1924891,04092018622,Northside Bistro & Cocktails ,832 SPRING FOREST RD ,,RALEIGH,NC,27609,(919) 890-5225,2021-05-13T04:00:00Z,Restaurant,347,-78.62263526,35.8662752,M
1924892,04092017191,TAMARIND,8531-109 BRIER CREEK PKY ,,RALEIGH,NC,27617,(919) 406-3473,2016-03-31T04:00:00Z,Restaurant,344,-78.78606215,35.90557616,M
1924893,04092018422,Moe's Southwest Grill #283,10760 WAKEFIELD COMMONS DR,,RALEIGH,NC,27614,(919) 570-3222,2020-08-19T04:00:00Z,Restaurant,354,-78.5408878,35.94279833,M
1924894,04092017539,HAMPTON INN RALEIGH/CARY BREAKFAST,201 ASHVILLE AVE ,,CARY,NC,27518,(919) 859-5559,2017-02-28T05:00:00Z,Restaurant,367,-78.78426862,35.73925014,M
1924895,04092021875,HL Catering Primary Shared Kitchen,1012 OBERLIN RD ,,RALEIGH,NC,27605,(919) 675-1854,2015-09-29T04:00:00Z,Food Stand,371,-78.65955263,35.79661923,M
1924896,04092016152,CLARK DINING HALL,221 JENSEN  DR ,,RALEIGH,NC,27695,(919) 513-4680,2012-02-09T05:00:00Z,Restaurant,374,-78.67872874,35.78448278,M
1924897,04092021606,HARRIS TEETER #422 MM/SEAFOOD,120-100 ST ALBANS DR ,,RALEIGH,NC,27609,(919) 781-4165,2010-02-03T05:00:00Z,Food Stand,382,-78.63887103,35.83819686,M
1924898,04092015470,TIJUANA FLATS #138,1310 E MILLBROOK RD ,,RALEIGH,NC,27609,(919) 790-6409,2009-09-04T04:00:00Z,Restaurant,391,-78.61557526,35.84978294,M
1924899,04092030454,Capones Chicago Eats  (WCID #750),8101 Holly Springs RD ,M-Sat 11-2,Raleigh ,NC,27606,(919) 757-9514,2019-12-09T05:00:00Z,Pushcarts,395,-78.76164101,35.70858774,M
1924900,04092018719,Union Special Downtown,401 FAYETTEVILLE ST,Suite 103,RALEIGH,NC,27601,(984) 200-3094 ext. 7004,2021-10-05T04:00:00Z,Restaurant,398,-78.63909101,35.77542096,M
1924901,04092025358,Oak City Pizza,2906 Hillsborough  ST ,,RALEIGH,NC,27607,(919) 322-2544,2021-04-28T04:00:00Z,Food Stand,400,-78.67526404,35.78962141,M
1924902,04092017322,BADA BEAN COFFEE & THINGS,938 GATEWAY COMMONS CIR ,,WAKE FOREST,NC,27587,(984) 235-4608,2016-09-16T04:00:00Z,Restaurant,408,-78.4951784,35.96732914,M
1924903,04092025295,PIZZA HUT #1303,1009 E Broad ST ,,FUQUAY-VARINA,NC,27526,(919) 552-0771,2019-12-04T05:00:00Z,Food Stand,419,-78.78267467,35.59365948,M
1924904,04092021893,FOOD LION #1654 PRODUCE,7440 LOUISBURG RD ,,RALEIGH,NC,27616,(919) 875-1394,2015-10-21T04:00:00Z,Food Stand,427,-78.53977,35.87454018,M
1924905,04092021894,FOOD LION #2534 PRODUCE,13200 NEW FALLS OF NEUSE RD ,,RALEIGH,NC,27614,(919) 562-8912,2015-10-21T04:00:00Z,Food Stand,428,-78.55981965,35.9407555,M
1924906,04092021901,FOOD LION #723 PRODUCE,7053 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 266-5164,2015-10-27T04:00:00Z,Food Stand,429,-78.4900383,35.7998273,M
1924907,04092030245,LA FARM BREAD TRUCK (WCID #442),4150 MAIN AT NORTH HILLS ,,RALEIGH,NC,27609,(919) 657-0657,2012-09-07T04:00:00Z,Mobile Food Units,441,-78.64290922,35.83698561,M
1924908,04092018243,PIZZA HUT #9210,321  N MAIN ST ,,HOLLY SPRINGS,NC,27540,(919) 346-9020,2019-12-03T05:00:00Z,Restaurant,448,-78.83511867,35.65582685,M
1924909,04092015471,CHICK-FIL-A #2181,801 VILLAGE WALK  DR ,,HOLLY SPRING,NC,27540,(919) 567-0060,2009-09-02T04:00:00Z,Restaurant,475,-78.83457704,35.6392159,M
1924910,04092018626,Empanadas & More,2107 Grace Park  DR ,,RALEIGH,NC,27560,(919) 535-8080,2021-05-10T04:00:00Z,Restaurant,453,-78.84717028,35.82193112,M
1924911,04092025298,Pizza Hut Delivery #036624,4011 Capital BLVD ,,RALEIGH,NC,27604,(919) 790-8111,2019-12-03T05:00:00Z,Food Stand,476,-78.58372976,35.83623733,M
1924912,04092021897,FOOD LION #1482 PRODUCE,5426 SIX FORKS RD ,,RALEIGH,NC,27609,(919) 676-3386,2015-10-22T04:00:00Z,Food Stand,486,-78.64059702,35.85499105,M
1924913,04092018627,Kazu Hibachi,8111 Creedmioor  RD ,Suite 149,RALEIGH,NC,27613,(919) 977-8999,2021-05-11T04:00:00Z,Restaurant,491,-78.68248786,35.89850336,M
1924914,04092021892,FOOD LION #815 PRODUCE,2837 WENDELL BLVD ,,WENDELL,NC,27591,(919) 365-3002,2015-10-21T04:00:00Z,Food Stand,497,-78.38037181,35.79568777,M
1924915,04092018647,Five Guys #0368,8107 Creedmoor RD ,Ste 100,RALEIGH,NC,27613,(919) 844-7057,2021-06-07T04:00:00Z,Restaurant,508,-78.68116797,35.89788799,M
1924916,04092017193,CRAFTY BEER SHOP,8450 HONEYCUTT RD ,Suite 108,RALEIGH,NC,27615,(919) 703-0874,2016-04-05T04:00:00Z,Restaurant,510,-78.62166097,35.89510574,M
1924917,04092021582,HARRIS TEETER #311 DELI,324 VILLAGE WALK   DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009-09-10T04:00:00Z,Food Stand,528,-78.83920922,35.63987917,M
1924918,04092030438,Jerk Man Island Cuisine (WCID #732),2161 S Wilmington ST ,,RALEIGH,NC,27603,(919) 943-7074,2019-08-21T04:00:00Z,Mobile Food Units,487,-78.64171063,35.75324624,M
1924919,04092018430,Dogwood Bar & Eatery,610 GLENWOOD AVE,,RALEIGH,NC,27603,(919) 977-3714,2020-09-01T04:00:00Z,Restaurant,529,-78.64681795,35.78777191,M
1924920,04092016699,Sukhadia's Indian Cuisine,6715 Hillsborough Street,Suite 102,RALEIGH,NC,27606,(919) 389-1200,2014-05-30T04:00:00Z,Restaurant,539,-78.7439181,35.78820637,M
1924921,04092022030,AUNTIE ANNE'S NC #111,5959 TRIANGLE TOWN BLVD ,STE EU-2133,RALEIGH,NC,27616,(919) 792-2548,2017-08-30T04:00:00Z,Food Stand,545,-78.57603863,35.86599856,M
1924922,04092018512,Poke Bros,7870 Alexander Promenade PL ,Ste 110,RALEIGH,NC,27617,(919) 797-2322,2020-12-30T05:00:00Z,Restaurant,561,-78.77695631,35.91424375,M
1924923,04092050028,NEUSE CHRISTIAN ACADEMY,7600 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 847-0160 ext. 274,2009-12-30T05:00:00Z,Private School Lunchrooms,565,-78.62608851,35.88760817,M
1924924,04092017900,The Arbor @ Morgan Street Food Hall,411 W Morgan ST ,,RALEIGH,NC,27603,(919) 834-2720,2018-07-25T04:00:00Z,Restaurant,566,-78.6456917,35.77945516,M
1924925,04092017186,STARBUCKS #25115,180 CABELA DR ,,GARNER,NC,27529,(919) 819-5059,2016-03-29T04:00:00Z,Restaurant,567,-78.58356211,35.69799194,M
1924926,04092030437,Captain John's Seafood (WCID #730),308 Southtown Circle,,ROLESVILLE,NC,27591,(919) 717-7598,2019-08-08T04:00:00Z,Mobile Food Units,572,-78.47039569,35.91648377,M
1924927,04092015474,BISCUITVILLE #184,4305 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 803-8112,2009-09-24T04:00:00Z,Restaurant,573,-78.65307339,35.72039578,M
1924928,04092016083,NEW RAINBOW CHINESE RESTAURANT,3427 N Main ST ,,FUQUAY-VARINA,NC,27526,(919) 567-8272,2012-01-31T05:00:00Z,Restaurant,575,-78.7258865,35.62516136,M
1924929,04092021896,FOOD LION #1481 PRODUCE,7713 LEAD MINE RD ,,RALEIGH,NC,27615,(919) 518-1607,2015-10-21T04:00:00Z,Food Stand,585,-78.66044244,35.88617531,T
1924930,04092014480,Pruitt Health - Raleigh Dining,2420 Lake Wheeler RD,,RALEIGH,NC,27603,(919) 755-0226,2006-01-10T05:00:00Z,Restaurant,590,-78.67644314,35.74808355,M
1924931,04092018250,Pizza Hut #036586,3691 New Bern AVE ,,RALEIGH,NC,27610,(919) 900-8096,2019-12-03T05:00:00Z,Restaurant,591,-78.57923704,35.79885313,M
1924932,04092016702,China Wok,7440-143 Louisburg RD ,,RALEIGH,NC,27616,(919) 862-9898,2014-05-28T04:00:00Z,Restaurant,580,-78.54049905,35.87559319,M
1924933,04092018672,Burger King #10775,636  W Gannon Ave,,ZEBULON,NC,27595,(919) 404-1091,2021-07-02T04:00:00Z,Restaurant,597,-78.32958448,35.82096151,M
1924934,04092021963,PUBLIX #1520 DELI,3480 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 303-4024,2016-05-23T04:00:00Z,Food Stand,603,-78.79652253,35.70711378,M
1924935,04092110486,ROOT ELEMENTARY CAFETERIA,3202 NORTHAMPTON ST ,,RALEIGH,NC,27609,(919) 881-4940,2009-09-14T04:00:00Z,Public School Lunchrooms,604,-78.65043831,35.82537972,M
1924936,04092021900,FOOD LION #90 PRODUCE,4317 FALLS OF NEUSE RD ,,RALEIGH,NC,27609,(919) 872-5376,2015-10-22T04:00:00Z,Food Stand,612,-78.61339277,35.84095998,M
1924937,04092110467,NORTH WAKE COLLEGE & CAREER ACADEMY-CAFETERIA,931 Durham Hwy,,WAKE FOREST,NC,27587,(919) 570-2203,2007-08-21T04:00:00Z,Public School Lunchrooms,602,-78.54217531,35.9781402,M
1924938,04092017895,Anjappar,101 Ledgestone WAY ,,CARY,NC,27519,,2018-07-26T04:00:00Z,Restaurant,638,-78.84803797000001,35.79230683,M
1924939,04092017925,Dominos #8849,708 Slash Pine DR ,,CARY,NC,27519,(919) 439-5859,2018-08-07T04:00:00Z,Restaurant,652,-78.90892711,35.83075427,M
1924940,04092014842,Panda Express #1352,1000 Beaver Creek Commons DR ,,APEX,NC,27502,(919) 362-6369,2007-04-05T04:00:00Z,Restaurant,653,-78.87317907,35.74519929,M
1924941,04092025263,Oriental Pho,5959 TRIANGLE TOWN BLVD,1116,RALEIGH,NC,27616,(919) 449-0807,2019-06-12T04:00:00Z,Restaurant,655,-78.57603863,35.86599856,M
1924942,04092014599,Poppy Seed Market,8801-107 Lead Mine RD ,,RALEIGH,NC,27615,(919) 870-4997,2006-05-31T04:00:00Z,Restaurant,649,-78.65799167,35.90484309,M
1924943,04092017521,MCDONALDS #13159,1725 New Hope Church Rd,,RALEIGH,NC,27609,(919) 713-0903,2017-02-22T05:00:00Z,Restaurant,665,-78.60826495,35.83722719,M
1924944,04092017898,Zebulon Country Club,2424 Pearces RD ,,ZEBULON,NC,27597,(919) 269-8311,2018-08-09T04:00:00Z,Restaurant,675,-78.30935806,35.89131767,M
1924945,04092016163,FLYING BURRITO,4800 GROVE BARTON RD ,,RALEIGH,NC,27613,(919) 785-2734,2012-04-18T04:00:00Z,Restaurant,679,-78.71583123,35.87110639,M
1924946,04092015548,Rudinos's Pizza & Grinders Sports Corner,3101-101 EDWARDS MILL RD ,,RALEIGH,NC,27612,(919) 786-4235,2009-12-30T05:00:00Z,Restaurant,660,-78.70695216,35.82399087,M
1924947,04092017798,SKY ZONE,2101  Westinghouse Blvd.,SUITE 111,RALEIGH,NC,27604,(919) 948-4450,2018-03-02T05:00:00Z,Restaurant,687,-78.59593599,35.80806334,M
1924948,04092017686,THE PICKLED ONION,10750 WAKEFIELD COMMONS DR ,SUITE 107,RALEIGH,NC,27614,(919) 848-4161,2017-09-29T04:00:00Z,Restaurant,688,-78.54123068,35.94195641,M
1924949,04092016675,CLYDE COOPER'S BARBECUE,327 S WILMINGTON ST ,,RALEIGH,NC,27601,(919) 832-7614,2014-04-15T04:00:00Z,Restaurant,693,-78.63784658,35.77659846,M
1924950,04092040390,DeeVine Dogs (WCID #833),7106 KNIGHTDALE BLVD,,KNIGHTDALE,NC,27545-9265,(718) 581-7456,2021-06-01T04:00:00Z,Pushcarts,725,-78.49110797,35.79651289,M
1924951,04092016440,CASE DINING HALL,240 JETER DR ,,RALEIGH,NC,27695,(919) 515-2100,2013-06-06T04:00:00Z,Restaurant,727,-78.67872874,35.78448278,M
1924952,04092021889,FOOD LION #2504 PRODUCE,1030-125 N ROGERS LN ,,RALEIGH,NC,27610,(919) 792-0321,2015-10-06T04:00:00Z,Food Stand,668,-78.54967347,35.79198567,M
1924953,04092014687,Jumbo China,13200 Falls of Neuse RD ,SUITE 121,RALEIGH,NC,27614,(919) 861-8858,2006-08-03T04:00:00Z,Restaurant,729,-78.55981965,35.9407555,M
1924954,04092014640,Bojangles #37,1000 Claren CIR,,MORRISVILLE,NC,27560,(919) 460-7171,2006-07-06T04:00:00Z,Restaurant,731,-78.82373946,35.85573083,M
1924955,04092021788,GREEN PLANET CATERING,120 DRY AVE ,,CARY,NC,27511,(919) 832-6767,2014-04-16T04:00:00Z,Food Stand,732,-78.78306291,35.78337198,M
1924956,04092014754,Lam's Garden Restaurant,1100-113 Raleigh BLVD ,,RALEIGH,NC,27610,(919) 828-2118,2006-12-22T05:00:00Z,Restaurant,718,-78.61277558,35.79430477,M
1924957,04092015605,WAFFLE HOUSE #1279,7605 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 217-4112,2010-04-23T04:00:00Z,Restaurant,739,-78.47367546,35.80004488,M
1924958,04092017894,Which Wich #670,7202 Knightdale BLVD ,,KNIGHTDALE,NC,27545,(919) 373-8883,2018-07-26T04:00:00Z,Restaurant,750,-78.48704631,35.79788571,M
1924959,04092021888,LOWES FOODS #191 BEEF SHOP,9600 STRICKLAND RD ,,RALEIGH,NC,27615,(919) 847-5661,2015-10-02T04:00:00Z,Food Stand,754,-78.65568292,35.90277448,M
1924960,04092014757,Arby's #7814,2601 Wake Forest RD ,,RALEIGH,NC,27609,(919) 832-6885,2007-01-08T05:00:00Z,Restaurant,774,-78.62513234,35.81840468,M
