OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,case_number,crime_category,crime_code,crime_description,crime_type,reported_block_address,city_of_incident,city,district,reported_date,reported_year,reported_month,reported_day,reported_hour,reported_dayofwk,latitude,longitude,agency,updated_date
529082,b2710fb6-97c5-4247-9be0-e981076f37ea,2020-02-18T17:58:16.023Z,RaleighGIS,2020-02-18T17:58:16.023Z,RaleighGIS,P20009254,HUMANE,82G,Humane/All Other Humane,,900 BLOCK E MARTIN ST,RALEIGH,RALEIGH,Southeast,2020-02-17T12:33:00Z,2020,2,17,7,Monday,35.7764368740001,-78.624638628,RPD,2020-02-17T15:43:05.237Z
529085,428c3209-06c8-4de2-b1e8-86fe69e20d54,2020-02-18T20:14:01.341Z,RaleighGIS,2020-02-18T20:14:01.341Z,RaleighGIS,P20009287,VANDALISM,80B,All Other/Damage to Property (minor),,3900 BLOCK WESTERN BLVD,RALEIGH,RALEIGH,Southwest,2020-02-17T15:06:00Z,2020,2,17,10,Monday,35.784174523,-78.693289697,RPD,2020-02-17T20:37:52.049Z
529087,00194a65-cf4d-4d62-8afc-30fab022d3d5,2020-02-18T20:14:01.341Z,RaleighGIS,2020-02-18T20:14:01.341Z,RaleighGIS,,MISCELLANEOUS,81E,Miscellaneous/Lost Property,,,,RALEIGH,Northeast,2020-02-17T13:21:00Z,2020,2,17,8,Monday,0.0,0.0,RPD,2020-02-17T22:02:17.697Z
529088,851770b6-331f-45ec-958e-69e4e1b86233,2020-02-18T20:14:01.341Z,RaleighGIS,2020-02-18T20:14:01.341Z,RaleighGIS,,MISCELLANEOUS,81E,Miscellaneous/Lost Property,,,,RALEIGH,North,2020-02-17T13:38:00Z,2020,2,17,8,Monday,0.0,0.0,RPD,2020-02-17T22:03:21.527Z
529089,c2ff4c32-db37-4bc6-8849-afd460cc5874,2020-02-18T20:14:01.341Z,RaleighGIS,2020-02-18T20:14:01.341Z,RaleighGIS,,MISCELLANEOUS,81E,Miscellaneous/Lost Property,,,,RALEIGH,Northwest,2020-02-17T13:37:00Z,2020,2,17,8,Monday,0.0,0.0,RPD,2020-02-17T22:03:08.180Z
529101,fbee3d07-8ba9-4b0f-b1d9-ea7e1c764985,2020-02-18T20:05:41.238Z,RaleighGIS,2020-02-18T20:05:41.238Z,RaleighGIS,P20009284,ALL OTHER OFFENSES,80A,All Other/All Other Offenses,,4100 BLOCK DEEP HOLLOW DR,RALEIGH,RALEIGH,Northwest,2020-02-17T15:17:00Z,2020,2,17,10,Monday,35.8532114980001,-78.7095594199999,RPD,2020-02-17T19:04:29.007Z
529103,cb103126-e26e-4ee2-8156-fb35cc332414,2020-02-18T20:14:01.341Z,RaleighGIS,2020-02-18T20:14:01.341Z,RaleighGIS,P20009319,ALL OTHER OFFENSES,80A,All Other/All Other Offenses,,4400 BLOCK LAKE BOONE TRL,RALEIGH,RALEIGH,Northwest,2020-02-17T18:35:00Z,2020,2,17,13,Monday,35.8154748050001,-78.704708007,RPD,2020-02-17T19:21:36.337Z
529656,f9da3992-6779-4e30-a184-c5c959a48deb,2020-02-18T20:14:01.341Z,RaleighGIS,2020-02-18T20:14:01.341Z,RaleighGIS,,MISCELLANEOUS,81E,Miscellaneous/Lost Property,,,,RALEIGH,North,2020-02-17T13:48:00Z,2020,2,17,8,Monday,0.0,0.0,RPD,2020-02-17T22:03:41.740Z
529661,e3a58624-934a-48a5-91c9-34a464072ff6,2020-02-18T20:14:01.341Z,RaleighGIS,2020-02-18T20:14:01.341Z,RaleighGIS,P20009281,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,200 BLOCK HORIZON DR,RALEIGH,RALEIGH,North,2020-02-17T15:10:00Z,2020,2,17,10,Monday,35.88294375,-78.648732426,RPD,2020-02-17T22:05:22.510Z
529663,3dfbd9d3-5a94-46e2-b7af-a9ec6286a2e4,2020-02-18T20:14:01.341Z,RaleighGIS,2020-02-18T20:14:01.341Z,RaleighGIS,P20009271,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,6600 BLOCK THE LAKES DR,RALEIGH,RALEIGH,North,2020-02-17T14:01:00Z,2020,2,17,9,Monday,35.8684520040001,-78.6291618339999,RPD,2020-02-17T22:05:00.313Z
529721,852cdad6-2c66-4b50-a38c-4f0be20cbdcb,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,,MISCELLANEOUS,81F,Miscellaneous/Mental Commitment,,,,RALEIGH,Southeast,2020-02-18T05:04:00Z,2020,2,18,0,Tuesday,0.0,0.0,RPD,2020-02-18T15:51:11.667Z
529730,1a8cdcd5-d455-4b4c-99d7-40dda7462f94,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009406,DISORDERLY CONDUCT,70E,Disorderly Conduct/Resist-Delay-Obstruct Officer,,600 BLOCK GLENWOOD AVE,RALEIGH,RALEIGH,Downtown,2020-02-18T06:13:00Z,2020,2,18,1,Tuesday,35.787537613,-78.647202916,RPD,2020-02-18T15:51:07.809Z
529731,e8fd99bf-c991-4f1d-9743-6d0e8a094010,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009406,ASSAULT,25E,Assault/Simple,CRIMES AGAINST PERSONS,600 BLOCK GLENWOOD AVE,RALEIGH,RALEIGH,Downtown,2020-02-18T06:13:00Z,2020,2,18,1,Tuesday,35.787537613,-78.647202916,RPD,2020-02-18T15:51:07.809Z
529732,e3d8867c-ab6d-4a5d-bfcd-e6ed99c0e039,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,,MISCELLANEOUS,81C,Miscellaneous/Found Property,,,,RALEIGH,Southeast,2020-02-18T09:28:00Z,2020,2,18,4,Tuesday,0.0,0.0,RPD,2020-02-18T15:51:36.809Z
529733,adafad3c-9e84-4eaa-b095-f7e3fb7353b8,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009409,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,500 BLOCK MONTAGUE LN,RALEIGH,RALEIGH,Southeast,2020-02-18T08:45:00Z,2020,2,18,3,Tuesday,35.772766507,-78.626013347,RPD,2020-02-18T22:50:53.027Z
529739,3f42bb12-3c76-44b1-953c-36d566e6e4df,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,,MISCELLANEOUS,81B,Miscellaneous/Deceased Person,,,,RALEIGH,Northwest,2020-02-18T09:22:00Z,2020,2,18,4,Tuesday,0.0,0.0,RPD,2020-02-18T19:11:18.100Z
529741,ea117a66-5065-40d9-93a1-ac8bc72289af,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009414,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,2400 BLOCK RENFROW RD,RALEIGH,RALEIGH,Downtown,2020-02-18T11:06:00Z,2020,2,18,6,Tuesday,35.7506751780001,-78.643787249,RPD,2020-02-18T20:25:51.023Z
529742,5b20c49c-4ec5-4ec1-9ad9-a5a96e5469c7,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009413,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,3500 BLOCK CUM LAUDE CT,RALEIGH,RALEIGH,Southwest,2020-02-18T09:00:00Z,2020,2,18,4,Tuesday,35.753261894,-78.696854452,RPD,2020-02-19T05:17:04.833Z
529747,cb97c552-546f-4543-a59c-6ac7d1ff9ca4,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009426,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,2000 BLOCK KEDVALE AVE,RALEIGH,RALEIGH,Northwest,2020-02-18T12:40:00Z,2020,2,18,7,Tuesday,35.906124586,-78.8077399109999,RPD,2020-02-18T20:23:28.809Z
529748,181906b4-6cb5-4f5d-a82c-3d589332e509,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009421,BURGLARY/RESIDENTIAL,30B,Burglary/Residential,CRIMES AGAINST PROPERTY,10800 BLOCK BEECH VALLEY CT,RALEIGH,RALEIGH,Northwest,2020-02-18T12:09:00Z,2020,2,18,7,Tuesday,35.8971460330001,-78.8118700379999,RPD,2020-02-19T06:28:23.550Z
529752,6961e238-e493-4a77-8646-7f60e5e70674,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,,MISCELLANEOUS,81B,Miscellaneous/Deceased Person,,,,RALEIGH,Northwest,2020-02-18T12:38:00Z,2020,2,18,7,Tuesday,0.0,0.0,RPD,2020-02-18T19:46:39.653Z
529755,b4268956-0db4-4de0-a54b-28b920ad9b11,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,,MISCELLANEOUS,81A,Miscellaneous/All Other Non-Offenses,,,,RALEIGH,Southeast,2020-02-18T13:55:00Z,2020,2,18,8,Tuesday,0.0,0.0,RPD,2020-02-18T19:49:03.127Z
529756,50a22fb3-e2d9-4fdd-8a8f-077cb8097370,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,,MISCELLANEOUS,81B,Miscellaneous/Deceased Person,,,,RALEIGH,North,2020-02-18T14:09:00Z,2020,2,18,9,Tuesday,0.0,0.0,RPD,2020-02-18T19:45:04.240Z
529757,1c3be8e0-6f84-4fca-97f9-0debd3961311,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,,MISCELLANEOUS,81C,Miscellaneous/Found Property,,,,RALEIGH,Northeast,2020-02-18T14:14:00Z,2020,2,18,9,Tuesday,0.0,0.0,RPD,2020-02-18T20:29:13.853Z
529759,fc3bd47b-3e3d-4451-8df6-15ef4002f9df,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009449,DRUGS,54C,Drug Violation/Felony,CRIMES AGAINST SOCIETY,4800 BLOCK THORNTON RD,WAKE COUNTY,RALEIGH,Northeast,2020-02-18T14:14:00Z,2020,2,18,9,Tuesday,35.898766756,-78.558180305,RPD,2020-02-18T20:29:13.853Z
529761,26f08769-2702-4b66-ac83-288498745764,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009438,ALL OTHER OFFENSES,80A,All Other/All Other Offenses,,4900 BLOCK HOLLENDEN DR,RALEIGH,RALEIGH,Northeast,2020-02-18T13:59:00Z,2020,2,18,8,Tuesday,35.852574847,-78.575370146,RPD,2020-02-18T20:24:48.769Z
529762,9b171070-728b-4b8c-859f-d0d4e9459940,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009433,VANDALISM,80B,All Other/Damage to Property (minor),,4100 BLOCK JONES SAUSAGE RD,WAKE COUNTY,RALEIGH,Southeast,2020-02-18T12:57:00Z,2020,2,18,7,Tuesday,35.7243332470001,-78.5821470829999,RPD,2020-02-18T19:27:13.937Z
529763,3b39e1c8-a62d-4de2-9381-ede2e84a6a2c,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,,MISCELLANEOUS,81A,Miscellaneous/All Other Non-Offenses,,,,RALEIGH,North,2020-02-18T15:29:00Z,2020,2,18,10,Tuesday,0.0,0.0,RPD,2020-02-18T18:40:47.430Z
529764,9acf757c-c161-4a22-963c-19c02a56f6fd,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009461,ASSAULT,25E,Assault/Simple,CRIMES AGAINST PERSONS,800 BLOCK SUFFOLK BLVD,RALEIGH,RALEIGH,Southwest,2020-02-18T15:13:00Z,2020,2,18,10,Tuesday,35.7458213140001,-78.656696648,RPD,2020-02-18T22:59:35.153Z
529765,e7cfded9-0c6c-49ea-9622-80af13f28313,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,,MISCELLANEOUS,81E,Miscellaneous/Lost Property,,,,RALEIGH,Northeast,2020-02-18T14:21:00Z,2020,2,18,9,Tuesday,0.0,0.0,RPD,2020-02-18T20:25:13.110Z
529766,bfd06f87-7605-4261-8d55-f1e9fd72f465,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009467,MV THEFT,40A,Motor Vehicle Theft,CRIMES AGAINST PROPERTY,700 BLOCK SMALLWOOD DR,RALEIGH,RALEIGH,Southwest,2020-02-18T14:54:00Z,2020,2,18,9,Tuesday,35.7901999420001,-78.6563414999999,RPD,2020-02-18T23:00:49.137Z
529767,1204e1eb-8c5a-4bad-a405-907dc612a071,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009459,VANDALISM,80B,All Other/Damage to Property (minor),,2500 BLOCK BLUFFS VIEW DR,RALEIGH,RALEIGH,Southeast,2020-02-18T15:13:00Z,2020,2,18,10,Tuesday,35.7493426630001,-78.5658617349999,RPD,2020-02-18T22:22:46.110Z
529770,fd3d605c-5800-415d-ae90-d05cee4075bf,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009455,DRUGS,54C,Drug Violation/Felony,CRIMES AGAINST SOCIETY,3000 BLOCK WESTERN BLVD,RALEIGH,RALEIGH,Southwest,2020-02-18T15:25:00Z,2020,2,18,10,Tuesday,35.781825327,-78.678143765,RPD,2020-02-18T22:21:34.293Z
529771,99066295-61ae-4a22-88a5-ca45f00476d2,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009455,DRUG VIOLATIONS,54Z,Drug Equipment/Paraphernalia,CRIMES AGAINST SOCIETY,3000 BLOCK WESTERN BLVD,RALEIGH,RALEIGH,Southwest,2020-02-18T15:25:00Z,2020,2,18,10,Tuesday,35.781825327,-78.678143765,RPD,2020-02-18T22:21:34.293Z
529773,c0f73e32-376c-418c-bd52-44a61cda7591,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009428,DRUGS,54D,Drug Violation/Misdemeanor,CRIMES AGAINST SOCIETY,900 BLOCK E DAVIE ST,RALEIGH,RALEIGH,Southeast,2020-02-18T13:20:00Z,2020,2,18,8,Tuesday,35.775224548,-78.624826184,RPD,2020-02-18T20:28:53.607Z
529774,986d6d69-07f9-436c-ab92-8cecad792eea,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009425,VANDALISM,80B,All Other/Damage to Property (minor),,3400 BLOCK MIDDLE BRANCH RD,RALEIGH,RALEIGH,Southeast,2020-02-18T12:57:00Z,2020,2,18,7,Tuesday,35.765412887,-78.578792661,RPD,2020-02-18T22:58:03.267Z
570025,615666ad-d116-4b05-af06-5b57a34a167b,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,,MISCELLANEOUS,81A,Miscellaneous/All Other Non-Offenses,,,,RALEIGH,Downtown,2020-02-18T12:45:00Z,2020,2,18,7,Tuesday,0.0,0.0,RPD,2020-02-18T21:48:59.623Z
570031,2f17e263-3b34-4c07-b377-cbe4aba65ca1,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009445,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,3500 BLOCK CUM LAUDE CT,RALEIGH,RALEIGH,Southwest,2020-02-18T14:00:00Z,2020,2,18,9,Tuesday,35.7545327710001,-78.6957884,RPD,2020-02-18T22:58:59.097Z
570036,7095ca1c-279b-415b-b7c7-4f0fee87d198,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,,MISCELLANEOUS,81C,Miscellaneous/Found Property,,,,RALEIGH,Southwest,2020-02-18T17:17:00Z,2020,2,18,12,Tuesday,0.0,0.0,RPD,2020-02-18T21:54:39.923Z
570040,98fb85d7-4db7-4dfa-a34d-297d70d9e797,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009498,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,1600 BLOCK RONALD DR,RALEIGH,RALEIGH,North,2020-02-18T18:15:00Z,2020,2,18,13,Tuesday,35.8382865570001,-78.606905964,RPD,2020-02-18T20:59:09.687Z
570041,8154add1-ea45-4f84-8501-fd2394c48f48,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009502,BURGLARY/RESIDENTIAL,30B,Burglary/Residential,CRIMES AGAINST PROPERTY,2700 BLOCK STEWART DR,RALEIGH,RALEIGH,Southwest,2020-02-18T19:02:00Z,2020,2,18,14,Tuesday,35.744034126,-78.675421381,RPD,2020-02-18T22:11:13.283Z
570043,8c8b0749-af04-4ce4-b74e-69217b08a285,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,,MISCELLANEOUS,81A,Miscellaneous/All Other Non-Offenses,,,,RALEIGH,Downtown,2020-02-18T14:39:00Z,2020,2,18,9,Tuesday,0.0,0.0,RPD,2020-02-19T05:39:13.977Z
570044,17726836-26e2-4d14-83dc-025fbc7791a3,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,,MISCELLANEOUS,81F,Miscellaneous/Mental Commitment,,,,RALEIGH,Northeast,2020-02-18T19:11:00Z,2020,2,18,14,Tuesday,0.0,0.0,RPD,2020-02-18T20:03:09.569Z
570055,4122d148-a8ed-408b-abe6-4ede0930cfab,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009467,VANDALISM,80B,All Other/Damage to Property (minor),,700 BLOCK SMALLWOOD DR,RALEIGH,RALEIGH,Southwest,2020-02-18T14:54:00Z,2020,2,18,9,Tuesday,35.7901999420001,-78.6563414999999,RPD,2020-02-18T23:00:49.137Z
570056,a868b674-7287-4494-958c-4edb97178c51,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009472,DRUGS,54D,Drug Violation/Misdemeanor,CRIMES AGAINST SOCIETY,700 BLOCK E MARTIN ST,RALEIGH,RALEIGH,Southeast,2020-02-18T16:52:00Z,2020,2,18,11,Tuesday,35.7765351890001,-78.6274790429999,RPD,2020-02-19T01:11:38.980Z
570058,0e32d184-1a71-4bf5-9f0e-3e312769db3b,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009501,DRUG VIOLATIONS,54Z,Drug Equipment/Paraphernalia,CRIMES AGAINST SOCIETY,2100 BLOCK PINEY BROOK RD,RALEIGH,RALEIGH,Northeast,2020-02-18T18:54:00Z,2020,2,18,13,Tuesday,35.9238010940001,-78.568958815,RPD,2020-02-18T21:07:05.707Z
570060,dc40b59b-2f9a-41ec-8bad-1c00d4bd2ec1,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009512,BURGLARY/RESIDENTIAL,30B,Burglary/Residential,CRIMES AGAINST PROPERTY,10000 BLOCK PINEVILLE RD,RALEIGH,RALEIGH,Northwest,2020-02-18T19:14:00Z,2020,2,18,14,Tuesday,35.896654713,-78.793761139,RPD,2020-02-19T06:27:38.920Z
570065,706fe210-e5bc-4634-a7e6-4f5bc6f088f9,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009537,VANDALISM,80B,All Other/Damage to Property (minor),,4000 BLOCK CAPITAL BLVD,RALEIGH,RALEIGH,Northeast,2020-02-18T20:30:00Z,2020,2,18,15,Tuesday,35.835311528,-78.582196246,RPD,2020-02-18T21:13:03.707Z
570069,e1c7eed7-ee1f-47ca-80be-1e7dab8ca0d3,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009550,MV THEFT,40A,Motor Vehicle Theft,CRIMES AGAINST PROPERTY,8500 BLOCK GLENWOOD AVE,RALEIGH,RALEIGH,Northwest,2020-02-18T21:41:00Z,2020,2,18,16,Tuesday,35.8831356600001,-78.7389759169999,RPD,2020-02-19T02:02:43.057Z
570070,e3ca78be-181e-446d-9ca2-212220293cd3,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009551,HUMANE,82J,Humane/Chemical Deployment,,600 BLOCK MOTOR POOL ST,RALEIGH,RALEIGH,Southwest,2020-02-18T22:08:00Z,2020,2,18,17,Tuesday,35.788891015,-78.682344616,RPD,2020-02-19T02:41:04.409Z
570071,784c79fc-9417-4378-868c-c45ad4eb8917,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009553,HUMANE,82J,Humane/Chemical Deployment,,3400 BLOCK PRITCHARD CT,RALEIGH,RALEIGH,Northeast,2020-02-18T21:41:00Z,2020,2,18,16,Tuesday,35.877294449,-78.513036912,RPD,2020-02-19T03:14:30.769Z
570072,49971dab-6e04-4996-bca3-36afb091b33f,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009558,ASSAULT,25E,Assault/Simple,CRIMES AGAINST PERSONS,1800 BLOCK VIENNA WOODS DR,RALEIGH,RALEIGH,Southwest,2020-02-18T20:28:00Z,2020,2,18,15,Tuesday,35.7536514940001,-78.727955486,RPD,2020-02-19T05:16:22.800Z
570076,bb656d32-2a2c-4ed3-a78e-292f2ba6b02a,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009594,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,6200 BLOCK ROCK QUARRY RD,WAKE COUNTY,RALEIGH,Southeast,2020-02-19T02:39:00Z,2020,2,18,21,Tuesday,35.7237721320001,-78.549072525,RPD,2020-02-19T10:21:18.393Z
570077,c51ced61-2f28-46ae-843e-b9dc91e7d10a,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,P20009595,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,3100 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Southeast,2020-02-19T02:44:00Z,2020,2,18,21,Tuesday,35.7880008230001,-78.587874508,RPD,2020-02-19T04:20:03.129Z
570082,8c885c74-e36d-47bb-ab89-52e0b6179824,2020-02-19T11:44:54.538Z,RaleighGIS,2020-02-19T11:44:54.538Z,RaleighGIS,,MISCELLANEOUS,81A,Miscellaneous/All Other Non-Offenses,,,,RALEIGH,Downtown,2020-02-18T16:09:00Z,2020,2,18,11,Tuesday,0.0,0.0,RPD,2020-02-19T05:38:37.397Z
