name,review_count,rating,price,phone,display_phone,category_title
Jasmin & Olivz Mediterranean,61,3.5,1,19198351626,(919) 835-1626,mediterranean
Original Flying Burrito,372,3.5,2,19197852734,(919) 785-2734,tex-mex
Bali Hai,62,3.0,1,19842005100,(984) 200-5100,mongolian
Good Taste,12,4.0,1,19194041218,(919) 404-1218,chinese
Smashburger,154,3.0,1,19198709230,(919) 870-9230,burgers
Chido Taco,165,4.5,2,19195941930,(919) 594-1930,tacos
Chick-fil-A,57,4.0,1,19195670060,(919) 567-0060,fast food
KFC,13,2.0,1,19198725356,(919) 872-5356,fast food
Olive Garden Italian Restaurant,109,3.0,2,19195522237,(919) 552-2237,italian
Marco's Pizza,8,3.0,-1,19198251812,(919) 825-1812,pizza
El Mandado Supermarket,14,3.5,1,19198781800,(919) 878-1800,grocery
Sonic Drive-In,71,2.0,1,19198544602,(919) 854-4602,fast food
Asian Aroma,6,3.5,1,19193803087,(919) 380-3087,chinese
Dim Sum House,338,3.0,2,19193803087,(919) 380-3087,dim sum
Tangerine Cafe,197,4.0,2,19194688688,(919) 468-8688,thai
Domino's Pizza,3,2.0,-1,19194395859,(919) 439-5859,pizza
Panda Express,75,2.5,1,19193626369,(919) 362-6369,chinese
Taco Bell,14,2.0,1,19192122504,(919) 212-2504,fast food
KFC,14,2.5,1,19192122504,(919) 212-2504,fast food
Aloft Raleigh,68,3.5,2,19198289900,(919) 828-9900,hotels
Mi Cancun,227,4.0,2,19195529979,(919) 552-9979,bars
Soo Café,289,4.5,2,19198761969,(919) 876-1969,korean
Waffle House,61,3.5,1,19194600388,(919) 460-0388,diners
Oiso,246,4.5,2,19196657587,(919) 665-7587,japanese
Zaxby's Chicken Fingers & Buffalo Wings,23,2.5,1,19196617772,(919) 661-7772,fast food
The Corner Tavern & Grill,121,3.5,2,19194600088,(919) 460-0088,american (traditional)
Jersey Mike's Subs,1,1.0,-1,19842025627,(984) 202-5627,fast food
Jersey Mike's Subs,17,3.5,1,19842025627,(984) 202-5627,fast food
Pruitt Health - Raleigh,3,1.0,-1,19197550226,(919) 755-0226,retirement homes
Pizza Hut,35,1.5,1,19199008096,(919) 900-8096,pizza
Taipei 101,297,4.0,2,19193885885,(919) 388-5885,taiwanese
KFC,14,2.0,1,19196621003,(919) 662-1003,chicken wings
Quality Inn,13,2.0,2,19195572009,(919) 557-2009,hotels
Baskin Robbins,4,2.0,1,19198759092,(919) 875-9092,ice cream & frozen yogurt
Lam's Garden,9,3.5,2,19198282118,(919) 828-2118,chinese
Rye Bar and Southern Kitchen,236,3.5,2,19192273370,(919) 227-3370,southern
Posta Tuscan Grille,24,2.5,2,19192273370,(919) 227-3370,italian
Sawasdee Thai Restaurant & Bar,188,3.5,2,19197817599,(919) 781-7599,thai
Raleigh Marriott Crabtree Valley,80,3.5,2,19197817000,(919) 781-7000,hotels
Crabtree Grille,1,4.0,1,19197817000,(919) 781-7000,american (traditional)
Quinn's,2,3.5,3,19197817000,(919) 781-7000,sports bars
Sonic Drive-In,16,2.5,1,19195625540,(919) 562-5540,fast food
Courtyard by Marriott Raleigh North/Triangle Town Center,18,4.0,2,19196450088,(919) 645-0088,hotels
Poppyseed Market,149,4.0,2,19198704997,(919) 870-4997,delis
Irregardless Cafe,571,4.0,2,19198338898,(919) 833-8898,american (new)
City Market Sushi,269,4.5,2,19193221987,(919) 322-1987,sushi bars
Zaxby's Chicken Fingers & Buffalo Wings,25,3.0,1,19197730061,(919) 773-0061,salad
NC Bagel Cafe & Deli,71,3.5,1,19194692777,(919) 469-2777,bagels
Walking Crab,120,3.5,-1,19199773515,(919) 977-3515,seafood
Starbucks,2,3.0,-1,19195454787,(919) 545-4787,coffee & tea
McDonald's,81,1.5,1,19198337882,(919) 833-7882,fast food
The Cardinal at North Hills,2,4.0,-1,19842048444,(984) 204-8444,retirement homes
Randy's Pizza,100,3.0,1,19194683737,(919) 468-3737,pizza
Quality Inn,4,2.0,-1,19198630091,(919) 863-0091,hotels
Comfort Inn,7,2.5,2,19198630091,(919) 863-0091,hotels
Sheetz,12,3.5,-1,19197907064,(919) 790-7064,gas stations
Zambrero - Raleigh,6,5.0,-1,19198632561,(919) 863-2561,mexican
Zambrero - Parkside,5,3.5,-1,19198632561,(919) 863-2561,mexican
McDonald's,31,1.5,1,19192334144,(919) 233-4144,burgers
Courtyard by Marriott Raleigh-Durham Airport/Brier Creek,25,4.0,2,19194721000,(919) 472-1000,hotels
Bruno Restaurant,107,3.5,3,19194356640,(919) 435-6640,seafood
Mezeh Mediterranean Grill - Raleigh Hillsborough,49,4.5,1,19193863435,(919) 386-3435,mediterranean
Galaxy Fun Park,67,4.0,2,19195844000,(919) 584-4000,amusement parks
TownePlace Suites Raleigh Cary/Weston Parkway,22,3.0,2,19196780005,(919) 678-0005,hotels
Thai Thai Cuisine,101,4.0,2,19193035700,(919) 303-5700,thai
Jimmy John's,32,2.5,1,19192394114,(919) 239-4114,sandwiches
Chef's Palette Restaurant & Bar,223,4.0,2,19192676011,(919) 267-6011,american (new)
Sizzlin Stirfry Asian Bistro,15,4.0,2,19196666257,(919) 666-6257,asian fusion
Country Inn and Suites Raleigh Durham Airport,26,3.0,2,19195441010,(919) 544-1010,hotels
Dickey's Barbecue Pit,69,3.0,2,19194363995,(919) 436-3995,barbeque
Bruegger's Bagels,33,2.5,1,19198484902,(919) 848-4902,bagels
Zanyu Asian Noodles,174,4.5,2,19198031340,(919) 803-1340,noodles
Carolina Mudcats Baseball,20,3.5,-1,19192692287,(919) 269-2287,professional sports teams
Five County Stadium,6,4.5,-1,19192692287,(919) 269-2287,stadiums & arenas
Sushi Thai Cary,396,4.0,2,19194675747,(919) 467-5747,sushi bars
Polar Ice House of Cary,27,2.5,-1,19194602756,(919) 460-2756,skating rinks
Joyce & Family Restaurant and Catering,89,4.0,2,19195671717,(919) 567-1717,southern
Best Western Plus Raleigh Crabtree Valley Hotel,4,3.5,-1,19197821112,(919) 782-1112,hotels
Hampton Inn & Suites,2,3.5,3,19197821112,(919) 782-1112,hotels
Comfort Inn & Suites Crabtree Valley,19,2.5,2,19197821112,(919) 782-1112,hotels
McDonald's,38,1.5,1,19195568677,(919) 556-8677,fast food
The Cowfish Sushi Burger Bar,1659,4.5,2,19197840400,(919) 784-0400,sushi bars
DICED - Raleigh,84,4.0,2,19193073613,(919) 307-3613,salad
Los Casadores,2,2.5,-1,19192128100,(919) 212-8100,mexican
Carolina Ale House,146,3.0,2,19195568666,(919) 556-8666,sports bars
Masala Wrap,169,4.0,1,19193771903,(919) 377-1903,indian
Triangle Chicken House,6,4.0,-1,19193771903,(919) 377-1903,indian
Dairy Queen,18,3.5,1,19195542564,(919) 554-2564,ice cream & frozen yogurt
"Ruckus Pizza, Pasta & Spirits",239,3.5,2,19198513999,(919) 851-3999,pizza
Panda House Chinese Restaurant,21,3.5,1,19197793588,(919) 779-3588,chinese
Wingstop,4,2.0,-1,19199774010,(919) 977-4010,chicken wings
Krafty's Burgers And Brews,90,3.5,2,19193298000,(919) 329-8000,american (traditional)
Panda Garden,33,4.0,2,19198485883,(919) 848-5883,chinese
Salsa Azteca Mexican Grill,51,4.0,2,19192955355,(919) 295-5355,mexican
Hampton Inn & Suites Holly Springs,13,3.5,2,19195527610,(919) 552-7610,hotels
La Cucina Italiana,68,4.0,-1,19193363138,(919) 336-3138,pizza
Wingstop,62,2.5,1,19192373919,(919) 237-3919,chicken wings
Chick-fil-A,55,3.5,1,19198502175,(919) 850-2175,fast food
Steak ’n Shake,103,2.5,1,19198097524,(919) 809-7524,burgers
il Bacio Italian Grill & Pizza,140,3.0,2,19195567800,(919) 556-7800,italian
Chanticleer Cafe & Bakery,191,4.0,1,19197814810,(919) 781-4810,breakfast & brunch
Tenko Japan,87,3.5,1,19197815181,(919) 781-5181,japanese
Guasaca,181,4.0,1,19193778223,(919) 377-8223,venezuelan
Fairfield Inn & Suites Raleigh -  Wake Forest,3,4.0,-1,19194357056,(919) 435-7056,hotels
Jasmin & Olivz Mediterranean,59,3.5,1,19192346900,(919) 234-6900,lebanese
Cold Off the Press,39,4.5,2,19844449006,(984) 444-9006,juice bars & smoothies
Bonafide Bakeshop & Cafe,64,4.5,2,19193725000,(919) 372-5000,bakeries
Pace Yourself Run Company,12,5.0,-1,19193468182,(919) 346-8182,sports wear
Dairy Queen Grill & Chill,22,3.5,1,19197920127,(919) 792-0127,fast food
Waffle House,52,3.5,1,19198331247,(919) 833-1247,breakfast & brunch
Shanghai Express,120,2.0,1,19197549797,(919) 754-9797,chinese
Jersey Mike's Subs,30,3.0,1,19193882200,(919) 388-2200,fast food
Cicis,27,3.0,1,19192496448,(919) 249-6448,pizza
Cicis,7,3.5,-1,19192496448,(919) 249-6448,pizza
Aladdin's Eatery - North Hills,77,4.5,2,19199779025,(919) 977-9025,lebanese
Sheetz,16,3.5,2,19198905331,(919) 890-5331,gas stations
Thai House,173,3.5,2,19198783379,(919) 878-3379,thai
Vivace,315,4.0,2,19197877747,(919) 787-7747,italian
Oaks At Mayview,1,1.0,-1,19198395604,(919) 839-5604,skilled nursing
The Mayton,83,4.0,2,19196705000,(919) 670-5000,hotels
Hightop Burger,61,3.5,-1,19842006521,(984) 200-6521,burgers
Tacos Mexico Restaurant,99,4.0,1,19195571777,(919) 557-1777,mexican
El Pollo Rico Restaurant,35,3.5,2,19194319985,(919) 431-9985,mexican
Tasu Asian Bistro - Cary,148,3.0,2,19199774037,(919) 977-4037,sushi bars
Rocky Top Catering,20,4.0,-1,19198502340,(919) 850-2340,caterers
Rocky Top Hospitality,1,4.0,-1,19198502340,(919) 850-2340,venues & event spaces
Big Ed's City Market Restaurant,520,4.0,2,19198369909,(919) 836-9909,breakfast & brunch
Panera Bread,58,2.0,2,19192636176,(919) 263-6176,salad
Waffle House,27,3.0,1,19193639137,(919) 363-9137,diners
Olive Tree Market,15,4.0,2,19194810321,(919) 481-0321,grocery
Chick-fil-A,48,3.0,1,19194650699,(919) 465-0699,fast food
Smithfield's Chicken 'N Bar-B-Q,34,3.5,2,19196619151,(919) 661-9151,barbeque
Secrets Cajun Kitchen,35,3.5,-1,19193224048,(919) 322-4048,cajun/creole
Starbucks,31,3.5,1,19198516439,(919) 851-6439,coffee & tea
Burger King,12,2.5,-1,19195543008,(919) 554-3008,fast food
Spring Kitchen,52,2.5,1,19194621388,(919) 462-1388,chinese
Starbucks,4,2.5,-1,19197650005,(919) 765-0005,coffee & tea
Target,43,2.5,2,19197650005,(919) 765-0005,department stores
IHOP,47,2.5,1,19195528570,(919) 552-8570,breakfast & brunch
Aviator Brewing Company,74,3.5,1,19195672337,(919) 567-2337,breweries
Farmhouse Cafe,50,4.0,-1,19193747227,(919) 374-7227,breakfast & brunch
Grounds Cafe,50,4.0,1,19193747227,(919) 374-7227,cafes
Jersey Mike's Subs,9,4.0,2,19196610111,(919) 661-0111,sandwiches
Best Western Plus Cary Inn - NC State,41,2.0,2,19194811200,(919) 481-1200,hotels
Domino's Pizza,13,2.5,1,19198724000,(919) 872-4000,pizza
Shanghai Alley,51,4.0,-1,19193802900,(919) 380-2900,sushi bars
Guasaca,40,4.5,-1,19192106838,(919) 210-6838,venezuelan
Bodega Tapas & Wine,94,4.5,-1,19842354187,(984) 235-4187,tapas/small plates
Pizza Hut,27,1.5,1,19193469020,(919) 346-9020,pizza
Asian Garden,98,4.0,1,19194628598,(919) 462-8598,asian fusion
Woodys Sports Tavern & Grill,156,3.5,2,19193807737,(919) 380-7737,sports bars
Chili's,111,2.0,2,19192610167,(919) 261-0167,tex-mex
Don Beto's Tacos,41,4.0,1,19199771071,(919) 977-1071,mexican
Whole Foods Market,131,3.5,2,19198285805,(919) 828-5805,grocery
Genji Sushi Bars Raleigh,1,2.0,-1,19198285805,(919) 828-5805,sushi bars
Don Julio Mexican Restaurant,90,3.5,2,19842351537,(984) 235-1537,mexican
Sheetz,5,4.0,-1,19195548858,(919) 554-8858,convenience stores
Five Guys,62,3.5,1,19197877772,(919) 787-7772,burgers
Truffles Deli,3,4.5,-1,19199541944,(919) 954-1944,restaurants
Remington Grill Burgers & BBQ- Cary,92,3.0,1,19192331494,(919) 233-1494,barbeque
Five Guys,30,4.0,2,19197727338,(919) 772-7338,burgers
Hwy 55 Burgers Shakes & Fries,63,3.5,1,19193033533,(919) 303-3533,burgers
Bojangles,7,2.5,-1,19195576843,(919) 557-6843,restaurants
Uncorked,66,4.0,2,19842005423,(984) 200-5423,wine bars
Embassy Suites by Hilton Raleigh Durham Airport Brier Creek,71,4.0,2,19195722200,(919) 572-2200,hotels
Flying Spoons,6,3.0,2,19195722200,(919) 572-2200,pizza
Lee’s Kitchen,3,2.5,-1,19195215957,(919) 521-5957,caribbean
A'Nets Katch,168,4.0,2,19192170133,(919) 217-0133,seafood
A'Nets Katch,1,3.0,-1,19192170133,(919) 217-0133,seafood markets
Standard Beer + Food,11,4.5,-1,19193221499,(919) 322-1499,brewpubs
San Jose Mexican Restaurant,80,3.5,2,19194356050,(919) 435-6050,tex-mex
Cirque Du Soleil Alegría,15,4.5,-1,19198612300,(919) 861-2300,performing arts
PNC Arena,175,3.5,-1,19198612300,(919) 861-2300,stadiums & arenas
Marco's Pizza,40,4.0,2,19193800044,(919) 380-0044,pizza
Penn Station East Coast Subs-Morrisville,45,3.0,1,19193883368,(919) 388-3368,sandwiches
Arby's,12,3.5,1,19195528377,(919) 552-8377,fast food
Pharmacy Bottle + Beverage,70,4.5,1,19192341098,(919) 234-1098,beer bar
Dawat Indian Restaurant,114,3.5,2,19199240503,(919) 924-0503,indian
Sir Pizza,3,1.5,1,19199240503,(919) 924-0503,pizza
Asian Garden,61,4.0,1,19195549898,(919) 554-9898,sushi bars
IHOP,60,2.5,1,19196612604,(919) 661-2604,breakfast & brunch
McDonald's,11,2.0,1,19195567686,(919) 556-7686,fast food
Honey Pig Cary,96,3.5,2,19192340088,(919) 234-0088,korean
World Of Beer,50,3.0,2,19192340088,(919) 234-0088,american (traditional)
McDonald's,21,1.5,1,19198785907,(919) 878-5907,fast food
Los Tres Mexican Restaurant,58,3.5,2,19193676797,(919) 367-6797,mexican
Sonic Drive-In,12,2.5,-1,19192693477,(919) 269-3477,fast food
Benny Capitale's,98,3.5,1,19192394173,(919) 239-4173,pizza
Mezza Luna Pizzeria,52,4.5,-1,19193036686,(919) 303-6686,pizza
Johnny's Pizza,12,4.5,2,19193036686,(919) 303-6686,pizza
The Pizza Dude,76,3.5,1,19193036686,(919) 303-6686,pizza
Slice of New York Pizza,123,3.5,1,19194051301,(919) 405-1301,italian
Firehouse Subs,34,3.5,1,19197837102,(919) 783-7102,fast food
The Umstead Hotel,187,4.5,4,19194474000,(919) 447-4000,hotels
The Umstead Spa,51,3.0,4,19194474000,(919) 447-4000,day spas
Pita Bowl,24,5.0,-1,19198481211,(919) 848-1211,mediterranean
Shish Kabob,44,3.5,1,19198481211,(919) 848-1211,mediterranean
Bad Daddy's Burger Bar,464,4.0,2,19192970953,(919) 297-0953,burgers
Sakura 8,61,3.5,1,19842335100,(984) 233-5100,thai
Dunkin',32,2.0,1,19195214960,(919) 521-4960,donuts
Great Wok Chinese Restaurant,15,3.5,1,19193656988,(919) 365-6988,chinese
Roma's Italian,45,4.0,1,19194681111,(919) 468-1111,italian
Hardee's,20,2.0,1,19197729503,(919) 772-9503,fast food
Chick-fil-A,49,2.5,1,19196612448,(919) 661-2448,fast food
City Club Raleigh,24,4.0,-1,19198348829,(919) 834-8829,social clubs
Lochmere Golf Club,19,3.0,-1,19198510611,(919) 851-0611,golf
China Chef,16,3.0,2,19194688982,(919) 468-8982,chinese
New Panda,22,3.0,2,19196618393,(919) 661-8393,chinese
Kebab Skewer,89,4.5,-1,19193221535,(919) 322-1535,kebab
London Bridge Pub,89,3.5,2,19198386633,(919) 838-6633,pubs
Torero's Mexican Restaurant,174,3.5,2,19194688711,(919) 468-8711,mexican
Stromboli's Express,74,3.0,1,19197857075,(919) 785-7075,italian
Courtyard by Marriott Raleigh Midtown,47,4.0,2,19198213400,(919) 821-3400,hotels
Shorty's Famous Hot Dogs,63,3.5,1,19195568026,(919) 556-8026,hot dogs
Kanki,315,3.0,2,19197829708,(919) 782-9708,japanese
Torii Noodle Bar,143,3.0,2,19197829708,(919) 782-9708,japanese
Hyatt Place Raleigh-Durham Airport,43,3.5,2,19194052400,(919) 405-2400,hotels
Wilson's Eatery,162,4.5,2,19199775442,(919) 977-5442,american (traditional)
High Park Bar & Grill,44,3.5,2,19198334527,(919) 833-4527,sports bars
Jin Jin China,29,4.0,1,19197728868,(919) 772-8868,chinese
illogiCon,1,4.0,-1,19198280811,(919) 828-0811,community service/non-profit
DoubleTree by Hilton Hotel Raleigh - Brownstone - University,88,3.0,2,19198280811,(919) 828-0811,hotels
Taco Bell,55,2.5,1,19193770226,(919) 377-0226,fast food
Meeple's Brew,53,5.0,1,19193781847,(919) 378-1847,coffee & tea
Hardee's,11,3.0,1,19198590607,(919) 859-0607,burgers
Slice of NY Pizza,80,3.5,1,19198380011,(919) 838-0011,pizza
Moe's Southwest Grill,13,3.0,-1,19196506643,(919) 650-6643,mexican
Boston Market,41,2.5,1,19193193818,(919) 319-3818,comfort food
Vic's Italian Restaurant & Pizzeria,223,4.0,2,19198297090,(919) 829-7090,italian
Harris Teeter,35,3.5,2,19192339483,(919) 233-9483,grocery
Starbucks,7,2.0,3,19192339483,(919) 233-9483,coffee & tea
Char-Grill,51,4.0,1,19198458994,(919) 845-8994,burgers
Chios Rotisserie,70,4.5,2,19197731016,(919) 773-1016,peruvian
Waffle House,40,2.5,1,19198564789,(919) 856-4789,breakfast & brunch
San Jose Restaurant,33,3.0,2,19192693399,(919) 269-3399,mexican
J. Alexander's Restaurant,334,4.0,2,19842004493,(984) 200-4493,american (new)
Skye Tower Restaurant & Lounge,22,3.0,2,19198320501,(919) 832-0501,lounges
Holiday Inn Raleigh Downtown,73,3.0,2,19198320501,(919) 832-0501,venues & event spaces
Clarion Hotel State Capital,22,2.5,2,19198320501,(919) 832-0501,hotels
Subway,2,1.0,-1,19197620521,(919) 762-0521,sandwiches
Amalia's Authentic Italian Restaraunt,61,4.5,-1,19842370002,(984) 237-0002,italian
Hyatt House Raleigh North Hills,54,4.5,2,19193630771,(919) 363-0771,hotels
Seaboard Cafe,36,4.5,1,19198217553,(919) 821-7553,american (new)
Aladdin's Eatery,435,4.5,2,19198065700,(919) 806-5700,mediterranean
Baba Grill,18,4.0,1,19198065700,(919) 806-5700,greek
Noodles & Company,28,2.5,1,19193629153,(919) 362-9153,noodles
Noodles & Company,134,3.0,2,19198515080,(919) 851-5080,salad
Market Grill by Carolina Crispy Fry,3,4.5,-1,13144581068,(314) 458-1068,breakfast & brunch
Domino's Pizza,15,3.5,1,19194674222,(919) 467-4222,pizza
Neomonde Mediterranean Raleigh,590,4.5,2,19198281628,(919) 828-1628,mediterranean
Subway,18,2.0,1,19198286518,(919) 828-6518,sandwiches
Daniel's Restaurant,442,4.0,2,19193031006,(919) 303-1006,italian
Glenwood Grill,301,4.5,2,19197823102,(919) 782-3102,american (new)
R J's Place,13,3.0,1,19195525152,(919) 552-5152,fast food
Waffle House,26,2.5,1,19198335954,(919) 833-5954,breakfast & brunch
Port City Java,2,2.5,-1,19195150238,(919) 515-0238,bakeries
Brigs Great Beginnings,159,4.0,2,19198700994,(919) 870-0994,breakfast & brunch
Chef Mario's,7,5.0,-1,19197814141,(919) 781-4141,personal chefs
Fairfield Inn & Suites by Marriott Raleigh Cary,19,4.5,2,19193018467,(919) 301-8467,hotels
Dairy Queen Grill & Chill,15,1.5,1,19193873809,(919) 387-3809,fast food
CAVA,64,4.5,-1,19192764591,(919) 276-4591,mediterranean
Ruckus - Apex,105,3.5,2,19194466333,(919) 446-6333,pasta shops
G.58 Cuisine,112,4.0,-1,19194668858,(919) 466-8858,chinese
Pie-Zano's Pizzeria,91,4.5,2,19195548881,(919) 554-8881,pizza
Anzios Pizza,18,4.0,1,19195548881,(919) 554-8881,pizza
Okja K-Pub & Restaurant,41,3.5,-1,19196501565,(919) 650-1565,korean
Groucho's Deli,48,4.0,1,19199777747,(919) 977-7747,sandwiches
O'Malley's Pub & Restaurant,180,4.0,2,19197871234,(919) 787-1234,breakfast & brunch
Goodberry's Frozen Custard,113,4.0,1,19198339998,(919) 833-9998,ice cream & frozen yogurt
Dunkin',54,2.0,1,19195711303,(919) 571-1303,donuts
Baskin Robbins,9,2.0,2,19195711303,(919) 571-1303,ice cream & frozen yogurt
Assaggio's Pizzeria Ristorante,75,3.5,2,19195579505,(919) 557-9505,pizza
The Angus Barn,1318,4.0,3,19197812444,(919) 781-2444,steakhouses
Stanbury,350,4.5,3,19199774321,(919) 977-4321,american (new)
