,OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS
38,1891568,4092015101,Michelangelos,7280 GB Alford  HWY ,HOLLY SPRINGS,27540,(919) 557-4992,2008-03-26,224,-78.83292783,35.63500069,M
39,1891569,4092018715,Foundation Senior Living Food Service,1437 Aversboro RD ,GARNER,27529,(919) 624-2564,2021-09-13,228,-78.61572011,35.69056999,M
42,1891572,4092015443,MoonRunners Saloon,1506 US 70 HWY W ,GARNER,27529,(919) 662-5119,2009-08-12,238,-78.64623771,35.72377782,M
44,1891574,4092015913,SAS BUILDING C CAFE,820 SAS CAMPUS DR ,CARY,27513,(919) 531-8651,2011-03-16,247,-78.75122071,35.81750425,M
45,1891575,4092018634,Ish Deli,702 N PERSON ST,RALEIGH,27604,(919) 810-7451,2021-06-01,260,-78.63408794,35.78910376,M
50,1891580,4092017901,Vaishno Bhog,810 E Chatham ST ,CARY,27560,(919) 678-3172,2018-07-11,282,-78.76305622,35.79140272,M
51,1891581,4092015915,SUBWAY #50592,601 N MAIN ST ,HOLLY SPRINGS,27545,(919) 557-4411,2011-03-17,290,-78.83661982,35.66097455,M
52,1891582,4092016809,NIGHT KITCHEN BAKERY,10 W. FRANKLIN STREET,RALEIGH,27604,(984) 232-8907,2014-11-10,292,-78.64011364,35.78945486,M
53,1891583,4092015470,TIJUANA FLATS #138,1310 E MILLBROOK RD ,RALEIGH,27609,(919) 790-6409,2009-09-04,293,-78.61557526,35.84978294,M
54,1891584,4092017191,TAMARIND,8531-109 BRIER CREEK PKY ,RALEIGH,27617,(919) 406-3473,2016-03-31,19,-78.78606215,35.90557616,M
55,1891585,4092017542,AMERICAN DELI,1601-11 CROSS LINK RD ,RALEIGH,27610,(919) 516-5111,2017-03-01,33,-78.61376,35.75438832,M
56,1891586,4092018228,Hady International Food,717-199 E MARTIN ST ,RALEIGH,27610,(919) 741-1111,2019-11-13,58,-78.62699406,35.77656647,M
57,1891587,4092015099,Subway #41217,8410-140 Louisburg RD ,RALEIGH,27616,(919) 266-0300,2008-03-25,138,-78.51125194,35.89400635,M
58,1891588,4092018646,Five Guys #1797,1075 Pine Plaza BLVD ,APEX,27523,(919) 616-0011,2021-06-07,139,-78.82917015,35.7478436,M
60,1891590,4092018719,Union Special Downtown,401 FAYETTEVILLE ST,RALEIGH,27601,(984) 200-3094 ext. 7004,2021-10-05,300,-78.63909101,35.77542096,M
61,1891591,4092017541,RISE BISCUITS & DONUTS,169 GRAND HILL PL ,HOLLY SPRINGS,27540,(919) 586-7343,2017-03-03,309,-78.84948074,35.66266499,M
62,1891592,4092018626,Empanadas & More,2107 Grace Park  DR ,RALEIGH,27560,(919) 535-8080,2021-05-10,305,-78.84717028,35.82193112,M
65,1891595,4092016152,CLARK DINING HALL,221 JENSEN  DR ,RALEIGH,27695,(919) 513-4680,2012-02-09,326,-78.67872874,35.78448278,M
66,1891596,4092018422,Moe's Southwest Grill #283,10760 WAKEFIELD COMMONS DR,RALEIGH,27614,(919) 570-3222,2020-08-19,338,-78.5408878,35.94279833,M
67,1891597,4092018645,Five Guys #1710,1121 Parkside Main ST ,CARY,27519,(919) 380-0450,2021-06-07,345,-78.88929435,35.84836238,M
68,1891598,4092015321,SUBWAY #12460,706 W PEACE ST ,RALEIGH,27605,(919) 834-0605,2009-01-12,358,-78.64931864,35.78886208,M
69,1891599,4092017538,PIZZERIA FAULISI,215 E CHATHAM ST ,CARY,27511,(919) 377-8244,2017-02-21,359,-78.77734174,35.78786553,M
70,1891600,4092018307,Szechuan Mansion Restaurant,1353 KILDAIRE FARM RD,CARY,27511,(919) 800-1802,2020-01-27,363,-78.78193974,35.75976658,M
71,1891601,4092018254,Teriyaki Madness,160 SHENSTONE BLVD,GARNER,27529,,2019-12-02,364,-78.58054205,35.69110315,M
73,1891603,4092017849,The Melting Pot,3100 Wake Forest RD ,RALEIGH,27609-7846,(919) 878-0477,2018-05-14,368,-78.62038753,35.82333592,M
75,1891605,4092016286,CHECKERS PIZZA,2810 HILLSBOROUGH ST ,RALEIGH,27607,(919) 832-6522,2012-11-01,378,-78.67445032,35.78959693,M
78,1891608,4092017192,STARBUCKS #19453,185 GRAND HILL PL ,HOLLY SPRINGS,27540,(919) 557-3246,2016-04-05,399,-78.84948074,35.66266499,M
81,1891611,4092017669,FIRST CHINA RESTAURANT,6452 TRYON  RD ,CARY,27518,(919) 852-5857,2017-08-25,416,-78.7615544,35.74559939,M
84,1891614,4092018671,Burger King #11244,2791 NC 55 HWY ,CARY,27511,(919) 387-0071,2021-07-02,421,-78.87169627,35.78608086,M
85,1891615,4092018512,Poke Bros,7870 Alexander Promenade PL ,RALEIGH,27617,(919) 797-2322,2020-12-30,430,-78.77695631,35.91424375,M
86,1891616,4092014473,Mackey's Pub,2101 S Main  ST ,WAKE FOREST ,27587,(919) 562-5570,2006-01-20,434,-78.53310077,35.94802112,M
95,1891625,4092016797,HYATT HOUSE FOOD SERVICE,10962 CHAPEL HILL RD ,MORRISVILLE,27560,(919) 388-5355,2014-11-12,464,-78.84052711,35.85506763,M
97,1891627,4092017900,The Arbor @ Morgan Street Food Hall,411 W Morgan ST ,RALEIGH,27603,(919) 834-2720,2018-07-25,469,-78.6456917,35.77945516,M
98,1891628,4092017186,STARBUCKS #25115,180 CABELA DR ,GARNER,27529,(919) 819-5059,2016-03-29,470,-78.58356211,35.69799194,M
99,1891629,4092017895,Anjappar,101 Ledgestone WAY ,CARY,27519,,2018-07-26,475,-78.84803797000001,35.79230683,M
100,1891630,4092018627,Kazu Hibachi,8111 Creedmioor  RD ,RALEIGH,27613,(919) 977-8999,2021-05-11,485,-78.68248786,35.89850336,M
103,1891633,4092016702,China Wok,7440-143 Louisburg RD ,RALEIGH,27616,(919) 862-9898,2014-05-28,508,-78.54049905,35.87559319,M
106,1891636,4092015474,BISCUITVILLE #184,4305 FAYETTEVILLE RD ,RALEIGH,27603,(919) 803-8112,2009-09-24,525,-78.65307339,35.72039578,M
107,1891637,4092016083,NEW RAINBOW CHINESE RESTAURANT,3427 N Main ST ,FUQUAY-VARINA,27526,(919) 567-8272,2012-01-31,527,-78.7258865,35.62516136,M
109,1891639,4092016169,NET APP CAFE BLDG3,7301 KIT CREEK RD ,MORRISVILLE,27560,(919) 476-5671,2012-04-20,535,-78.88578455,35.85727617,M
111,1891641,4092017898,Zebulon Country Club,2424 Pearces RD ,ZEBULON,27597,(919) 269-8311,2018-08-09,561,-78.30935806,35.89131767,M
112,1891642,4092016699,Sukhadia's Indian Cuisine,6715 Hillsborough Street,RALEIGH,27606,(919) 389-1200,2014-05-30,565,-78.7439181,35.78820637,M
114,1891644,4092017894,Which Wich #670,7202 Knightdale BLVD ,KNIGHTDALE,27545,(919) 373-8883,2018-07-26,580,-78.48704631,35.79788571,M
116,1891646,4092016118,TENKO JAPAN,6325 FALLS OF NEUSE  RD ,RALEIGH,27615,(919) 876-4545,2012-03-01,588,-78.62251606,35.86922851,M
117,1891647,4092015942,RED BOWL ASIAN BISTRO,2020 BOULDERSTONE WAY ,CARY,27519,(919) 388-9977,2011-05-18,589,-78.84859346,35.79156535,M
118,1891648,4092015546,HAYASHI JAPANESE RESTAURANT,13200 NEW FALLS OF NUESE RD ,RALEIGH,27614,(919) 554-0508,2010-01-05,596,-78.55981965,35.9407555,M
120,1891650,4092018638,Hibachi Japan,11216 CAPITAL BLVD ,WAKE FOREST,27587,(919) 556-8882,2021-06-01,603,-78.53734624,35.9524773,M
121,1891651,4092018378,Pleasant Grove Church,1528 Davis DR ,CARY,27519,(919) 363-5198,2020-05-29,609,-78.84348956,35.76990031,M
122,1891652,4092017534,YUMMY HIBACHI,"7110 KNIGHTDALE BLVD, STE P",KNIGHTDALE,27545,(919) 373-0325,2017-03-09,612,-78.4899936,35.79638702,M
124,1891654,4092017188,CHAMPA THAI & SUSHI,8521 BRIER CREEK  PKY ,RALEIGH,27617,(919) 806-0078,2016-03-31,638,-78.78334742,35.90685073,M
125,1891655,4092016439,RANDY'S PIZZA,2458 WYCLIFF RD ,RALEIGH,27607,(919) 322-5990,2013-05-31,646,-78.692995,35.81676997,M
126,1891656,4092018245,PIZZA HUT #9214,2026 KILDAIRE FARM RD ,CARY,27518,(919) 851-7777,2019-12-03,657,-78.78068669,35.73567522,M
127,1891657,4092017798,SKY ZONE,2101  Westinghouse Blvd.,RALEIGH,27604,(919) 948-4450,2018-03-02,661,-78.59593599,35.80806334,M
128,1891658,4092017686,THE PICKLED ONION,10750 WAKEFIELD COMMONS DR ,RALEIGH,27614,(919) 848-4161,2017-09-29,662,-78.54123068,35.94195641,M
129,1891659,4092016675,CLYDE COOPER'S BARBECUE,327 S WILMINGTON ST ,RALEIGH,27601,(919) 832-7614,2014-04-15,667,-78.63784658,35.77659846,M
130,1891660,4092014554,KFC #J120103,1403 W Williams ST,APEX,27502,(919) 303-7997,2006-04-25,672,-78.87726967,35.7501529,M
132,1891662,4092016683,ROLY POLY,4040 ED DR ,RALEIGH,27612,(919) 785-0441,2014-05-13,675,-78.70319672,35.82518153,M
133,1891663,4092018251,Pizza Hut #036631,1805 Aversboro RD ,GARNER,27529,(919) 779-9200,2019-12-03,676,-78.61707161,35.6858565,M
134,1891664,4092014980,Daly Cafe and Pub at Holiday Inn,930 Airport BLVD ,MORRISVILLE,27560,(919) 465-1910 ext. 101,2007-10-17,684,-78.82187156,35.85658845,M
136,1891666,4092018513,Another Broken Egg,1211 MARKET CENTER  DR ,MORRISVILLE,27560,(919) 465-1079,2020-12-29,692,-78.81477941,35.8080269,M
137,1891667,4092018656,Brookfields Indoor Golf & Lounge,1839 S Main ST ,WAKE FOREST,27587,(984) 235-1722,2021-06-17,695,-78.52626448,35.95102854,M
139,1891669,4092015917,THAI CAFE #2,3309 ROGERS RD ,WAKE FOREST,27587,(919) 453-1679,2011-03-23,702,-78.51539337,35.95073316,M
140,1891670,4092017327,Chipotle  #2822,1081 PINE PLAZA DR ,APEX,27502,(919) 362-5435,2016-09-20,703,-78.82939266,35.74657076,M
141,1891671,4092018268,COMFORT INN OF FUQUAY BREAKFAST,7616 PURFOY RD ,FUQUAY VARINA,27526,(919) 557-9000,2019-12-13,708,-78.77411286,35.59000199,M
142,1891672,4092014553,KFC/Taco Bell #J120104,1011 N Harrison AVE,CARY,27513,(919) 467-6318,2006-04-21,716,-78.78357999,35.80351274,M
143,1891673,4092015549,BRAVO'S MEXICAN GRILL,208 GRANDE HEIGHTS DR ,CARY,27513,(919) 481-3811,2009-12-31,719,-78.7805746,35.804703,M
144,1891674,4092016397,GINO'S PIZZA,6260 GLENWOOD AVE ,RALEIGH,27612-2650,(919) 783-7555,2013-04-04,736,-78.70313649,35.85876954,M
147,1891677,4092016747,SMITHFIELD'S CHICKEN N BAR-B-Q,3578 DAVIS  DR ,MORRISVILLE,27560,(919) 468-2607,2014-09-11,744,-78.84697957,35.81858861,M
149,1891679,4092014873,Taqueria Rancho Grande,1401 SE Maynard RD ,CARY,27511,(919) 469-4245,2007-05-22,756,-78.7642317,35.78997989,M
150,1891680,4092015459,C & T WOK CHINESE AND THAI CUISINE,130 MORRISVILLE SQUARE WAY ,MORRISVILLE,27560,(919) 467-8860,2009-09-10,757,-78.82897679,35.81951783,M
151,1891681,4092016663,Bojangles #5,3301 S Wilmington ST ,RALEIGH,27603,(919) 772-4512,2014-04-08,759,-78.64980268,35.73506324,M
152,1891682,4092016117,JASMIN BISTRO,3801 HILLSBOROUGH ST ,RALEIGH,27607,(919) 835-1626,2012-02-29,761,-78.68856288,35.79387274,M
156,1891686,4092016163,FLYING BURRITO,4800 GROVE BARTON RD ,RALEIGH,27613,(919) 785-2734,2012-04-18,767,-78.71583123,35.87110639,M
158,1891688,4092017043,BALI-HAI,1571 US 70 HWY W ,GARNER,27529,(984) 200-5100,2015-09-26,799,-78.64815188,35.72323377,M
159,1891689,4092014946,Good Taste Chinese Restaurant,532 W Gannon AVE ,ZEBULON,27597,(919) 404-1218,2007-08-17,804,-78.32626437,35.8212487,M
160,1891690,4092016825,SMASHBURGER,6679-105 FALLS OF NEUSE ROAD,RALEIGH,27615,(919) 870-9230,2014-12-03,709,-78.62317377,35.87493875,M
161,1891691,4092018121,Chido Taco,2330 BALE ST,RALEIGH,27608,(919) 594-1930,2019-06-27,807,-78.62748278,35.81292611,M
162,1891692,4092015471,CHICK-FIL-A #2181,801 VILLAGE WALK  DR ,HOLLY SPRING,27540,(919) 567-0060,2009-09-02,819,-78.83457704,35.6392159,M
164,1891694,4092014558,KFC #J120095,4040 Capital BLVD,RALEIGH,27604,(919) 872-5356,2006-04-24,843,-78.58107016,35.83615994,M
165,1891695,4092016470,OLIVE GARDEN #4441,107 GRAND HILL PL ,HOLLY SPRINGS,27540,(919) 552-2237,2013-07-30,844,-78.84948074,35.66266499,M
166,1891696,4092018120,Marco's Pizza #8486,7500 RAMBLE WAY,RALEIGH,27616,(919) 825-1812,2019-06-26,854,-78.537511,35.87630713,M
167,1891697,4092018427,El Mandado Supermarket & Taqueria,2950 E MILLBROOK RD,RALEIGH,27604,(919) 878-1800,2020-08-30,860,-78.58256656,35.84852909,M
168,1891698,4092016475,SONIC #5864,109 JONES FRANKLIN RD ,RALEIGH,27606,(919) 854-4602,2013-09-09,868,-78.72125905,35.78415702,M
169,1891699,4092016685,DIM SUM HOUSE,100 JERUSALEM DR ,MORRISVILLE,27560,(919) 380-3087,2014-05-19,871,-78.82707041,35.85102001,M
171,1891701,4092014667,Tangerine Cafe,2422 SW Cary PKY ,CARY,27513,(919) 468-8688,2006-08-21,879,-78.82085718,35.76363975,M
172,1891702,4092017925,Dominos #8849,708 Slash Pine DR ,CARY,27519,(919) 439-5859,2018-08-07,887,-78.90892711,35.83075427,M
173,1891703,4092014842,Panda Express #1352,1000 Beaver Creek Commons DR ,APEX,27502,(919) 362-6369,2007-04-05,888,-78.87317907,35.74519929,M
174,1891704,4092014551,KFC#J120119,3408 Poole RD,RALEIGH,27610,(919) 212-2504,2006-04-24,890,-78.57981204,35.76819436,M
176,1891706,4092017064,ALOFT REFUEL AND WXYZ LOUNGE,2100 HILLSBOROUGH ST ,RALEIGH,27607,(919) 828-9900,2015-10-22,892,-78.66354224,35.78687212,M
177,1891707,4092017054,METLIFE 1 JUICE BAR,101 METLIFE WAY ,CARY,27513,(919) 907-5617,2015-10-13,906,-78.79975563,35.83005175,M
178,1891708,4092017488,MI CANCUN,324 GRAND HILL PL ,HOLLY SPRINGS,27540,(919) 552-9979,2016-12-14,907,-78.8436742,35.66711942,M
179,1891709,4092016621,CAFE SOO,2815  BRENTWOOD RD ,RALEIGH,27604,(919) 876-1969,2014-02-14,911,-78.59615202,35.81727946,M
180,1891710,4092016267,CHINA KING,313 CROSSROADS BLVD ,CARY,27518,(919) 233-8385,2012-10-01,913,-78.73871452,35.76064286,M
181,1891711,4092015603,WAFFLE HOUSE #1090,1006 AIRPORT BLVD ,MORRISVILLE,27560-9195,(919) 460-0388,2010-04-19,919,-78.81924125,35.85853428,M
182,1891712,4092017063,OISO SUSHI & KOREAN,1305 NW MAYNARD RD ,CARY,27513,(919) 665-7587,2015-10-21,924,-78.81098892,35.78581105,M
186,1891716,4092014665,Zaxby's Restaurant,4150 FAYETTEVILLE RD,RALEIGH,27603-3606,(919) 661-7772,2006-08-22,966,-78.65280432,35.72361266,M
187,1891717,4092016583,THE CORNER TAVERN & GRILL,1301 NW MAYNARD  RD ,CARY,27513,(919) 460-0088,2013-12-19,967,-78.81098892,35.78581105,M
188,1891718,4092017051,JERSEY MIKE'S #349,3201-139 EDWARDS MILL RD ,RALEIGH,27612,(984) 202-5627,2015-10-09,731,-78.70556784,35.82545067,M
190,1891720,4092014480,Pruitt Health - Raleigh Dining,2420 Lake Wheeler RD,RALEIGH,27603,(919) 755-0226,2006-01-10,983,-78.67644314,35.74808355,M
191,1891721,4092018250,Pizza Hut #036586,3691 New Bern AVE ,RALEIGH,27610,(919) 900-8096,2019-12-03,984,-78.57923704,35.79885313,M
192,1891722,4092016148,TAIPEI AUTHENTIC CHINESE CUISINE,121 E CHATHAM ST ,CARY,27511,(919) 388-5885,2012-04-18,990,-78.78052303,35.78769406,M
194,1891724,4092014552,KFC #J120099,1599 US 70 HWY ,GARNER,27529,(919) 662-1003,2006-04-21,758,-78.64871535,35.72515497,T
195,1891725,4092017228,Bogey's Bistro,2300 OLD MILBURNIE RD ,RALEIGH,27604-9778,(919) 428-0938,2016-05-25,1006,-78.51131358,35.81858285,M
197,1891727,4092015421,QUALITY INN FOOD SERVICE,511 N JUDD PKY NE ,FUQUAY VARINA,27526,(919) 557-2009,2009-06-16,1011,-78.78040573,35.59061253,M
198,1891728,4092018190,Dunkin Donuts/Baskin Robbins #339085,2727 Capital BLVD ,RALEIGH,27604,(919) 875-9092,2019-09-30,1017,-78.60179762,35.81684953,M
199,1891729,4092014754,Lam's Garden Restaurant,1100-113 Raleigh BLVD ,RALEIGH,27610,(919) 828-2118,2006-12-22,816,-78.61277558,35.79430477,M
200,1891730,4092016474,RYE BAR & SOUTHERN KITCHEN,500 FAYETTEVILLE ST ,RALEIGH,27601,(919) 227-3370,2013-08-20,1018,-78.63997557,35.77359698,M
204,1891734,4092015515,CAJUN CRAB HOUSE,6204-120 GLENWOOD  AVE ,RALEIGH,27612,(919) 781-7599,2009-11-10,828,-78.70283224,35.85653115,M
205,1891735,4092016622,WINGIN'IT BAR AND GRILLE,1625 N MAIN ST ,FUQUAY VARINA,27526,,2014-02-28,1049,-78.76145615,35.59674702,M
206,1891736,4092016471,Jaipur Indian Cuisine,1520 BLUE RIDGE RD,RALEIGH,27607-3906,(919) 832-4100 ext. 7722,2013-08-05,1050,-78.70563279,35.80134843,M
207,1891737,4092016497,RALEIGH CRABTREE MARRIOTT FOODSERVICE,4500 MARRIOTT DR ,RALEIGH,27612-3365,(919) 781-7000,2013-10-03,1052,-78.67772751,35.84277362,M
208,1891738,4092016506,SONIC DRIVE IN #5735,304 S Main ST ,ROLESVILLE,27571,(919) 562-5540,2013-09-11,1058,-78.46378987,35.9198667,M
210,1891740,4092016510,COURTYARD BISTRO,3401 SUMNER BLVD ,RALEIGH,27616,(919) 645-0088,2013-09-19,1096,-78.58017989,35.86693412,M
211,1891741,4092014599,Poppy Seed Market,8801-107 Lead Mine RD ,RALEIGH,27615,(919) 870-4997,2006-05-31,884,-78.65799167,35.90484309,M
213,1891743,4092018315,Irregardless cafe,901 W MORGAN ST ,RALEIGH,27603-1511,(919) 833-8898,2020-02-06,1104,-78.65603068,35.78118378,M
214,1891744,4092017927,Showmars - Wake Forest,1009-128 Stadium DR ,WAKE FOREST,27587,(919) 554-9608,2018-07-20,902,-78.52993342,35.99015656,M
215,1891745,4092017485,CITY MARKET SUSHI,315 BLAKE ST ,RALEIGH,27601,(919) 322-1987,2016-12-01,1105,-78.63561219,35.77622916,M
216,1891746,4092017483,ZAXBY'S #60701,20 EAGLE WING WAY ,GARNER,27529,(919) 773-0061,2016-11-28,1106,-78.58765235,35.69782164,M
217,1891747,4092017026,N. C. BAGEL CAFE & DELI,3108 GRACE PARK DR ,MORRISVILLE,27560,(919) 469-2777,2015-12-19,1107,-78.84652326,35.82111262,M
218,1891748,4092018095,Walking Crab,1549 US 70 W ,GARNER,27529,(919) 977-3515,2019-05-01,909,-78.64729883,35.72372411,M
219,1891749,4092015789,SHUTTLE INN C-STORE,1000 MAIN CAMPUS DR ,RALEIGH,27695,(919) 515-5132,2011-08-16,1109,-78.67967966,35.76286971,M
221,1891751,4092018401,Starbucks #55618,1268 W WILLIAMS ST,APEX,27502,(919) 545-4787,2020-07-09,1116,-78.87327975,35.74703535,M
222,1891752,4092018387,Dunkin #358642,1500 DUNN RD,RALEIGH,27614,,2020-06-23,1120,-78.58619433,35.92539994,M
224,1891754,4092017590,MCDONALDS #2510,3710 WESTERN BLVD ,RALEIGH,27606,(919) 833-7882,2017-05-03,1131,-78.68803643,35.78529365,M
225,1891755,4092017502,The Cardinal at North Hills Independent Living Clubhouse Kitchen,4030 Cardinal at North Hills ST ,RALEIGH,27609,(984) 204-8444,2017-01-11,1097,0.0,0.0,U
226,1891756,4092014765,Randy's Pizza,4129 Davis DR ,MORRISVILLE,27560,(919) 468-3737,2006-12-22,1140,-78.85811603,35.8356265,M
228,1891758,4092016293,Quality Inn #NC436 Breakfast Bar,2539 S SAUNDERS ST ,RALEIGH,27603,(919) 863-0091,2012-10-26,1149,-78.64828387,35.74994855,M
229,1891759,4092016619,SHEETZ #537,2408 DIXIE FOREST RD ,RALEIGH,27615,(919) 790-7064,2014-02-14,1152,-78.5993676,35.86286629,M
230,1891760,4092018710,Zambrero #403,1151 PARKSIDE MAIN ST,CARY,27519,(919) 863-2561,2021-09-21,1157,-78.88929435,35.84836238,M
231,1891761,4092017591,MCDONALDS #33850,601 CORPORATE CENTER DR ,RALEIGH,27606,(919) 233-4144,2017-05-03,1159,-78.74074148,35.79000755,M
232,1891762,4092016965,RESIDENCE INN/MARRIOTT COURTYARD FOOD SERVICE,10600 LITTLE BRIER CREEK LN ,RALEIGH,27617,(919) 472-1000,2015-06-18,1160,-78.79032614,35.9166105,M
235,1891765,4092015638,BRUNO,11211  GALLERIA  AVE ,RALEIGH,27614,(919) 435-6640,2010-05-26,1174,-78.54331441,35.94865826,M
237,1891767,4092018098,Jersey Mike's Sub #3189,166 Cabela DR ,GARNER,27529,,2019-04-11,1189,-78.58356211,35.69799194,M
238,1891768,4092018239,Mezeh Grill,2316 HILLSBOROUGH ST,RALEIGH,27607-7384,(919) 386-3435,2019-11-22,1196,-78.66664805,35.78770631,M
239,1891769,4092017330,GALAXY FUN PARK,14460 FALLS OF NEUSE RD ,RALEIGH,27614,(919) 584-4000,2016-09-19,1198,-78.54362008,35.94386602,M
240,1891770,4092016961,TOWNPLACE SUITES CARY/WESTON PKWY.,120 SAGE COMMONS WAY ,CARY,27513,(919) 678-0005,2015-06-24,1217,-78.80567494,35.82777675,M
242,1891772,4092015422,SHUCKERS OYSTER BAR & GRILL,3309 ROGERS RD ,WAKE FOREST,27587,(919) 602-8011,2009-06-02,1235,-78.51539337,35.95073316,M
245,1891775,4092015574,THAI THAI CUISINE,108 OSTERVILLE  DR ,HOLLY SPRINGS,27540,(919) 303-5700,2010-02-16,1241,-78.83224207,35.67779122,M
247,1891777,4092016730,JIMMY JOHN'S #1863,6268 GLENWOOD AVE ,RALEIGH,27612,(919) 239-4114,2014-08-12,1191,-78.70374515,35.85715323,M
